name,playlist_id,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,song_id,uri,track_href,analysis_url,duration_ms,time_signature,mood_encoded
Peaceful Piano,37i9dQZF1DX4sWSpwq3LiO,Peaceful,0.5542837322233785,0.17344638533539894,0.09090909090909091,0.6407246850973336,1.0,0.21189591078066916,0.9788359788359786,0.8777429467084636,0.26687847498014283,0.06996332020105964,0.08927035814612488,audio_features,5hFkGfx038V0LhqI0Uff2J,spotify:track:5hFkGfx038V0LhqI0Uff2J,https://api.spotify.com/v1/tracks/5hFkGfx038V0LhqI0Uff2J,https://api.spotify.com/v1/audio-analysis/5hFkGfx038V0LhqI0Uff2J,0.32661053293923803,0.75,12
Peaceful Meditation,37i9dQZF1DWZqd5JICZI0u,Peaceful,0.6427332639611516,0.3728953495922892,0.36363636363636365,0.8393587436610501,1.0,0.1431226765799256,0.9365079365079367,0.9184952978056424,0.2549642573471008,0.2188561336774895,0.3632238884202423,audio_features,3RI7rnK1YgmyRcXq9pkMqQ,spotify:track:3RI7rnK1YgmyRcXq9pkMqQ,https://api.spotify.com/v1/tracks/3RI7rnK1YgmyRcXq9pkMqQ,https://api.spotify.com/v1/audio-analysis/3RI7rnK1YgmyRcXq9pkMqQ,0.6439813549920105,0.75,12
Peaceful Music (Instrumental),7MuGX2icynmq9zuklPCbnX,Peaceful,0.6878251821019772,0.2634303366512983,0.0,0.8861851791264517,1.0,0.37360594795539026,0.9947089947089953,1.0,0.4201747418586179,0.5965222116560249,0.5100040130711461,audio_features,6fjZ39b5dT9uZzFsVRLwSi,spotify:track:6fjZ39b5dT9uZzFsVRLwSi,https://api.spotify.com/v1/tracks/6fjZ39b5dT9uZzFsVRLwSi,https://api.spotify.com/v1/audio-analysis/6fjZ39b5dT9uZzFsVRLwSi,0.40888204465860245,0.75,12
Peaceful music<3,37O3TVPbewdKcI2GBx0FbA,Peaceful,0.5577523413111343,0.1168585396625138,0.09090909090909091,0.7412890561099297,1.0,0.21375464684014878,0.9735449735449739,0.827586206896552,0.36457505957108804,0.21342208939002857,0.6125666456458179,audio_features,1b1A6Z7pI8myEX3TSyweOk,spotify:track:1b1A6Z7pI8myEX3TSyweOk,https://api.spotify.com/v1/tracks/1b1A6Z7pI8myEX3TSyweOk,https://api.spotify.com/v1/audio-analysis/1b1A6Z7pI8myEX3TSyweOk,0.3263455949926727,0.75,12
Peaceful Music,4Lw6TUrPoiQkTjXE46J8cD,Peaceful,0.7034339229968782,0.2235405437999202,0.4545454545454546,0.92196957304106,1.0,0.13568773234200748,0.9894179894179898,0.7178683385579938,0.4598888006354248,0.406330661594892,0.24754916012153877,audio_features,3xZBHTUT1gLAmDbPz77ETo,spotify:track:3xZBHTUT1gLAmDbPz77ETo,https://api.spotify.com/v1/tracks/3xZBHTUT1gLAmDbPz77ETo,https://api.spotify.com/v1/audio-analysis/3xZBHTUT1gLAmDbPz77ETo,0.5265144929336082,0.5,12
Easygoing Mix,37i9dQZF1EIg1diNOlUqZZ,Easygoing,0.5161290322580645,0.2903327550859486,0.6363636363636364,0.6590462947816129,1.0,0.2825278810408921,0.9682539682539684,0.7492163009404389,0.43606036536934056,0.05950278494769733,0.48686742942318245,audio_features,6yhkANlWR9KWT75aAqXmGm,spotify:track:6yhkANlWR9KWT75aAqXmGm,https://api.spotify.com/v1/tracks/6yhkANlWR9KWT75aAqXmGm,https://api.spotify.com/v1/audio-analysis/6yhkANlWR9KWT75aAqXmGm,0.39513010936969606,0.75,4
Easygoing Happy Mix,37i9dQZF1EIcPjfcworcTM,Easygoing,0.42074228234477973,0.3515589487648079,1.0,0.7602241125470308,1.0,0.2639405204460966,0.9841269841269842,0.8714733542319748,0.32486100079428104,0.04238554544219537,0.17095683082038643,audio_features,2bjQvSk5T3A2dmnqqeRhzI,spotify:track:2bjQvSk5T3A2dmnqqeRhzI,https://api.spotify.com/v1/tracks/2bjQvSk5T3A2dmnqqeRhzI,https://api.spotify.com/v1/audio-analysis/2bjQvSk5T3A2dmnqqeRhzI,0.2714206469453483,1.0,4
Easygoing Morning Mix,37i9dQZF1EIdc2yEH4ul1a,Easygoing,0.32015261879986123,0.0542408415818622,0.18181818181818182,0.5250695239653196,1.0,0.3029739776951673,0.9788359788359786,0.915360501567398,0.27879269261318496,0.14277951365303632,1.0000000000000002,audio_features,7MDbt6zQQu37YFeVcOpb4U,spotify:track:7MDbt6zQQu37YFeVcOpb4U,https://api.spotify.com/v1/tracks/7MDbt6zQQu37YFeVcOpb4U,https://api.spotify.com/v1/audio-analysis/7MDbt6zQQu37YFeVcOpb4U,0.9093498257205069,0.5,4
Mellow Lofi Morning,37i9dQZF1DX6QClArDhvcW,Easygoing,0.5716267776621575,0.029100995389482087,0.6363636363636364,0.5977425159496155,1.0,0.5353159851301114,0.9735449735449739,0.849529780564263,0.16918189038919773,0.22157315582121997,0.6500601960671903,audio_features,2ODAJGjI4YZwWp470XsV41,spotify:track:2ODAJGjI4YZwWp470XsV41,https://api.spotify.com/v1/tracks/2ODAJGjI4YZwWp470XsV41,https://api.spotify.com/v1/audio-analysis/2ODAJGjI4YZwWp470XsV41,0.4908223839447604,0.75,4
Bollywood & Chill,37i9dQZF1DWX76Z8XDsZzF,Easygoing,0.653139091224419,0.454530274497435,0.09090909090909091,0.798666775723867,1.0,0.7676579925650558,0.9947089947089953,0.8307210031347965,0.36457505957108804,0.354707240864013,0.7212062145273177,audio_features,3RO7kRSyGR1WD6vWOI73r9,spotify:track:3RO7kRSyGR1WD6vWOI73r9,https://api.spotify.com/v1/tracks/3RO7kRSyGR1WD6vWOI73r9,https://api.spotify.com/v1/audio-analysis/3RO7kRSyGR1WD6vWOI73r9,0.28638964092628927,0.75,4
